family_id	head	size	book_hits	raw_hits	book_members	peak_word	charged	labelled	charged_pct	pos_ct	neg_ct	contrast	held	done	eligible
oewn-00713964-v	calculate	8	134	821	7	reckon	0	8	0.0	0	0	0	0	0	0
oewn-01000444-v	record	8	134	1328	6	write	0	8	0.0	0	0	0	0	0	0
oewn-01690851-v	picture	6	134	767	6	show	0	6	0.0	0	0	0	0	0	0
oewn-01728336-v	play	18	133	598	9	play	0	18	0.0	0	0	0	0	0	0
oewn-02195552-v	change intensity	12	133	408	8	quiet	0	12	0.0	0	0	0	0	0	0
oewn-00813960-v	confront	6	133	1045	6	face	3	6	0.5	0	3	0	0	0	0
oewn-02733758-v	sell	6	133	940	6	bring	0	6	0.0	0	0	0	0	0	0
oewn-00771598-v	convert	4	133	141	3	convince	0	4	0.0	0	0	0	0	0	0
oewn-01428804-v	neck	4	133	168	3	neck	2	4	0.5	2	0	0	0	0	0
oewn-01479113-v	obstruct	38	132	836	24	stop	7	38	0.18	0	7	0	0	0	0
oewn-01972576-v	rise	30	132	1462	23	rise	1	30	0.03	1	0	0	0	0	0
oewn-01160479-v	consume	20	132	697	14	drink	1	20	0.05	1	0	0	0	0	0
oewn-01718067-v	perform	24	130	2868	11	give	1	24	0.04	1	0	0	0	0	0
oewn-00017858-v	go to bed	12	130	522	6	bed	0	12	0.0	0	0	0	0	0	0
oewn-00932561-v	imply	7	130	566	5	suppose	5	7	0.71	5	0	0	0	0	0
oewn-02142175-v	disclose	6	130	1081	6	face	0	6	0.0	0	0	0	0	0	0
oewn-01173463-v	hit the bottle	18	129	1352	10	hold	0	18	0.0	0	0	0	0	0	0
oewn-00667394-v	lay down	5	129	3665	5	make	2	5	0.4	2	0	0	0	0	0
oewn-02222048-v	finance	5	129	1237	4	back	0	5	0.0	0	0	0	0	0	0
oewn-00218901-v	dry	18	128	548	5	air	1	18	0.06	0	1	0	0	0	0
oewn-00790800-v	investigate	10	128	375	10	examine	2	10	0.2	2	0	0	0	0	0
oewn-02252785-v	recover	5	128	1652	5	find	0	5	0.0	0	0	0	0	0	0
oewn-01063503-v	express	4	128	492	4	state	0	4	0.0	0	0	0	0	0	0
oewn-01266043-v	strip	13	127	749	8	tear	0	13	0.0	0	0	0	0	0	0
oewn-00018806-v	awaken	12	127	1177	9	call	6	12	0.5	6	0	0	0	0	0
